,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,0,5,0.245,0.245,0.026455163955688477,"['take knife', 'examine kitchen cupboard', 'examine cutlery drawer', 'put knife in dining chair', 'open trash can', 'open fridge']",0.0245,0.004083333333333334
1,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,1,1,0.249,0.494,0.012965202331542969,"['open trash can', 'open fridge']",0.04915,0.007021428571428572
2,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,2,1,0.249,0.743,0.008996963500976562,"['open trash can', 'open fridge']",0.07336000000000001,0.010480000000000001
3,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,3,1,0.249,0.992,0.0,"['open trash can', 'open fridge']",0.09697150000000002,0.013853071428571432
4,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,4,1,0.249,1.241,0.0,"['open trash can', 'open fridge']",0.11986210000000001,0.017123157142857146
5,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,5,1,0.249,1.4900000000000002,0.015622615814208984,"['open trash can', 'open fridge']",0.14193986500000003,0.020277123571428576
6,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,6,1,0.249,1.7390000000000003,0.015620231628417969,"['open trash can', 'open fridge']",0.16313845600000004,0.02330549371428572
7,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,7,18,0.23199999999999998,1.9710000000000003,0.043580055236816406,"['open trash can', 'examine kitchen cupboard', 'examine fridge', 'open dishwasher', 'examine dining chair', 'examine kitchen cupboard', 'examine cutlery drawer', 'examine kitchen cupboard', 'close trash can', 'look around', 'examine cookbook', 'look around', 'inventory', 'examine counter', 'examine trash can', 'look around', 'examine dishwasher', 'take knife', 'open fridge']",0.1947025076500002,0.008112604485416675
8,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,8,21,0.22899999999999998,2.2,0.04686093330383301,"['open trash can', 'open kitchen cupboard', 'examine cutlery drawer', 'close kitchen cupboard', 'examine dishwasher', 'examine fridge', 'open cutlery drawer', 'examine dining chair', 'examine fridge', 'look around', 'take cookbook', 'open dishwasher', 'close cutlery drawer', 'open cutlery drawer', 'examine dishwasher', 'examine kitchen cupboard', 'examine toaster', 'examine cutlery drawer', 'examine cookbook', 'close dishwasher', 'put cookbook in counter', 'open fridge']",0.22510354123500034,0.005002300916333341
9,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,9,21,0.22899999999999998,2.4290000000000003,0.046863555908203125,"['examine cutlery drawer', 'look around', 'read cookbook', 'examine counter', 'read cookbook', 'examine fridge', 'look around', 'take knife', 'look around', 'examine oven', 'open cutlery drawer', 'examine cutlery drawer', 'examine cookbook', 'read cookbook', 'open kitchen cupboard', 'examine dining chair', 'put knife in counter', 'take cookbook', 'open dishwasher', 'close cutlery drawer', 'put cookbook in counter', 'open fridge']",0.2499127169740005,0.004030850273774202
10,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,10,1,0.249,2.6780000000000004,0.0,"['open trash can', 'open fridge']",0.2686069513105005,0.004332370182427428
11,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,11,1,0.249,2.9270000000000005,0.015645503997802734,"['open trash can', 'open fridge']",0.2865079302383505,0.0046210956490056534
12,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,12,1,0.249,3.1760000000000006,0.0,"['open trash can', 'open fridge']",0.30358736249591556,0.004896570362837348
13,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,13,1,0.249,3.4250000000000007,0.0,"['open trash can', 'open fridge']",0.319830547627974,0.005158557219806033
14,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,14,1,0.249,3.674000000000001,0.009972095489501953,"['open trash can', 'open fridge']",0.3352339407370517,0.005406999044145995
15,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,15,1,0.249,3.923000000000001,0.008975982666015625,"['open trash can', 'open fridge']",0.34980306837642405,0.005641984973813291
16,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,16,1,0.249,4.172000000000001,0.0030488967895507812,"['open trash can', 'open fridge']",0.36355074970894147,0.005863721769499056
17,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,17,1,0.249,4.421,0.015622377395629883,"['open trash can', 'open fridge']",0.37649558271958117,0.0060725093987029225
18,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,18,1,0.249,4.67,0.0,"['open trash can', 'open fridge']",0.3886606602593935,0.006268720326764411
19,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,19,1,0.249,4.919,0.015621662139892578,"['open trash can', 'open fridge']",0.40007248509243754,0.00645278201761996
20,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,20,19,0.23099999999999998,5.1499999999999995,0.04686331748962402,"['examine oven', 'examine dining chair', 'examine cookbook', 'examine dining chair', 'examine cookbook', 'examine dishwasher', 'examine dishwasher', 'examine stove', 'inventory', 'open kitchen cupboard', 'read cookbook', 'examine fridge', 'take cookbook', 'examine stove', 'examine cutlery drawer', 'examine cookbook', 'inventory', 'examine knife', 'open trash can', 'open fridge']",0.42097144617392923,0.005328752483214294
21,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,21,22,0.22799999999999998,5.377999999999999,0.041715145111083984,"['open trash can', 'open kitchen cupboard', 'examine kitchen cupboard', 'examine kitchen cupboard', 'examine toaster', 'examine knife', 'examine dining chair', 'inventory', 'examine kitchen cupboard', 'examine dining chair', 'examine trash can', 'examine oven', 'examine dining chair', 'examine oven', 'examine counter', 'look around', 'examine oven', 'close kitchen cupboard', 'examine cookbook', 'examine stove', 'open cutlery drawer', 'examine cutlery drawer', 'open fridge']",0.4523164176190681,0.004615473649174164
22,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,22,1,0.249,5.626999999999999,0.015621662139892578,"['open trash can', 'open fridge']",0.46227294525149454,0.0047170708699132095
23,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,23,1,0.249,5.875999999999999,0.015622854232788086,"['open trash can', 'open fridge']",0.4715715330500966,0.004811954418878536
24,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,24,1,0.249,6.124999999999998,0.0,"['take knife', 'open fridge']",0.4962315330500966,0.005063587071939761
25,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,25,1,0.249,6.373999999999998,0.0,"['open trash can', 'open fridge']",0.5049042037053149,0.005152083711278723
