,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,0,13,0.237,0.237,0.06623363494873047,"['examine oven', 'examine dishwasher', 'examine dining chair', 'examine knife', 'examine counter', 'take knife', 'examine dishwasher', 'open kitchen cupboard', 'look around', 'close kitchen cupboard', 'examine dishwasher', 'put knife in dining chair', 'examine oven', 'open fridge']",0.023673,0.0016909285714285713
1,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,1,10,0.24,0.477,0.031243085861206055,"['examine fridge', 'look around', 'examine knife', 'examine cutlery drawer', 'examine counter', 'open dishwasher', 'close dishwasher', 'open kitchen cupboard', 'examine dining chair', 'examine oven', 'open fridge']",0.047387,0.0019744583333333333
2,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,2,38,0.21199999999999997,0.689,0.10528945922851562,"['examine cookbook', 'examine dishwasher', 'open cutlery drawer', 'examine toaster', 'examine dishwasher', 'examine cookbook', 'examine stove', 'look around', 'examine dishwasher', 'take knife', 'close cutlery drawer', 'take cookbook', 'open trash can', 'examine knife', 'put cookbook in trash can', 'read cookbook', 'examine stove', 'open dishwasher', 'examine trash can', 'open cutlery drawer', 'close dishwasher', 'put knife in dining chair', 'open dishwasher', 'examine kitchen cupboard', 'examine counter', 'examine cookbook', 'examine cutlery drawer', 'look around', 'examine dining chair', 'examine trash can', 'examine fridge', 'close cutlery drawer', 'examine dining chair', 'examine dining chair', 'take knife', 'examine cookbook', 'put knife in dining chair', 'examine oven', 'open fridge']",0.06793715709999998,0.0011137238868852456
3,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,3,5,0.245,0.9339999999999999,0.031243562698364258,"['take cookbook', 'put cookbook in dining chair', 'examine dishwasher', 'examine dining chair', 'examine oven', 'open fridge']",0.09175165709999998,0.0014115639553846152
4,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,4,4,0.246,1.18,0.02396225929260254,"['examine kitchen cupboard', 'open trash can', 'open cutlery drawer', 'close cutlery drawer', 'open fridge']",0.11631484709999998,0.0016616406728571427
5,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,5,1,0.249,1.4289999999999998,0.0010802745819091797,"['examine fridge', 'open fridge']",0.14121584709999999,0.0019889555929577464
6,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,6,0,0.25,1.6789999999999998,0.019033432006835938,['open fridge'],0.16621584709999998,0.0023085534319444443
7,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,7,0,0.25,1.9289999999999998,0.005357027053833008,['open fridge'],0.18871584709999997,0.002621053431944444
8,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,8,0,0.25,2.179,0.0,['open fridge'],0.2089658471,0.0029023034319444444
9,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,9,0,0.25,2.429,0.015652894973754883,['open fridge'],0.22719084709999998,0.0031554284319444442
10,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,10,5,0.245,2.674,0.015591621398925781,"['read cookbook', 'examine cutlery drawer', 'examine oven', 'examine cutlery drawer', 'examine oven', 'open fridge']",0.2584728496,0.003400958547368421
11,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,11,0,0.25,2.924,0.0,['open fridge'],0.2748753496,0.0036167809157894733
12,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,12,0,0.25,3.174,0.010996103286743164,['open fridge'],0.2896375996,0.003811021047368421
13,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,13,0,0.25,3.424,0.008455753326416016,['open fridge'],0.3029236246,0.003985837165789474
14,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,14,8,0.242,3.666,0.018749475479125977,"['examine dishwasher', 'take knife', 'read cookbook', 'inventory', 'examine trash can', 'read cookbook', 'read cookbook', 'examine fridge', 'open fridge']",0.3268477956,0.003937925248192771
15,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,15,0,0.25,3.916,0.015623092651367188,['open fridge'],0.33880521809999997,0.004081990579518072
16,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,16,0,0.25,4.166,0.0,['open fridge'],0.34956689835,0.004211649377710843
17,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,17,26,0.22399999999999998,4.390000000000001,0.062456369400024414,"['examine fridge', 'look around', 'examine cookbook', 'examine trash can', 'examine counter', 'examine toaster', 'open kitchen cupboard', 'examine cookbook', 'examine toaster', 'examine dining chair', 'examine oven', 'examine counter', 'take cookbook', 'examine toaster', 'examine dining chair', 'examine oven', 'examine toaster', 'examine dining chair', 'examine oven', 'examine stove', 'examine trash can', 'put cookbook in kitchen cupboard', 'examine knife', 'examine kitchen cupboard', 'examine kitchen cupboard', 'examine oven', 'open fridge']",0.40243560749749985,0.00394544713232843
18,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,18,0,0.25,4.640000000000001,0.009599685668945312,['open fridge'],0.4121211197224999,0.004040403134534312
19,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,19,0,0.25,4.890000000000001,0.010805130004882812,['open fridge'],0.42083808072499984,0.004125863536519606
20,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,20,1,0.249,5.139,0.0030786991119384766,"['examine fridge', 'open fridge']",0.4448634907249998,0.004361406771813724
21,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,21,0,0.25,5.389,0.0,['open fridge'],0.45270875562724977,0.004438321133600488
22,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,22,3,0.247,5.636,0.0,"['inventory', 'examine dishwasher', 'take knife', 'open fridge']",0.47741153852724977,0.004546776557402378
23,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,23,0,0.25,5.886,0.0,['open fridge'],0.48447227693927475,0.00461402168513595
24,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,24,0,0.25,6.136,0.015650510787963867,['open fridge'],0.49082694151009726,0.004674542300096164
25,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,25,1,0.249,6.385,0.0,"['examine fridge', 'open fridge']",0.5142723105100973,0.004897831528667593
26,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,26,0,0.25,6.635,0.0,['open fridge'],0.5199915086238375,0.0049523000821317855
27,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,27,0,0.25,6.885,0.0,['open fridge'],0.5251387869262036,0.005001321780249558
28,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,28,0,0.25,7.135,0.015649795532226562,['open fridge'],0.5297713373983333,0.005045441308555555
29,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,29,0,0.25,7.385,0.01376652717590332,['open fridge'],0.5339406328232499,0.005085148884030951
30,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,30,0,0.25,7.635,0.007978439331054688,['open fridge'],0.5376929987056749,0.005120885701958808
31,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,31,0,0.25,7.885,0.0010581016540527344,['open fridge'],0.5410701279998573,0.005153048838093879
32,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,32,1,0.249,8.134,0.015622138977050781,"['examine oven', 'open fridge']",0.5648087304998572,0.005379130766665307
33,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,33,0,0.25,8.384,0.0,['open fridge'],0.5678481468646215,0.005408077589186871
34,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,34,0,0.25,8.634,0.015621662139892578,['open fridge'],0.5705836215929093,0.0054341297294562795
35,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,35,0,0.25,8.884,0.0,['open fridge'],0.5730455488483683,0.005457576655698746
36,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,36,0,0.25,9.134,0.0,['open fridge'],0.5752612833782814,0.005478678889316966
37,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,37,0,0.25,9.384,0.012964248657226562,['open fridge'],0.5772554444552033,0.005497670899573364
38,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,38,3,0.247,9.631,0.008594751358032227,"['examine toaster', 'examine dining chair', 'examine oven', 'open fridge']",0.6003635652157032,0.005663807219016068
39,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,39,2,0.248,9.879,0.014862537384033203,"['open dishwasher', 'examine oven', 'open fridge']",0.6237307332407032,0.005775284567043548
40,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,40,0,0.25,10.129,0.00816202163696289,['open fridge'],0.6255254782099328,0.0057919025760178955
41,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,41,0,0.25,10.379,0.0,['open fridge'],0.6271407486822395,0.00580685878409481
42,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,42,1,0.249,10.628,0.0,"['examine fridge', 'open fridge']",0.6498818307822395,0.00601742435909481
43,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,43,0,0.25,10.878,0.01565074920654297,['open fridge'],0.6513355742073155,0.0060308849463640325
44,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,44,0,0.25,11.128,0.0,['open fridge'],0.6526439432898838,0.0060429994749063316
45,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,45,0,0.25,11.378,0.015622138977050781,['open fridge'],0.6538214754641954,0.006053902550594402
46,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,46,0,0.25,11.628,0.009452104568481445,['open fridge'],0.6548812544210758,0.006063715318713665
47,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,47,0,0.25,11.878,0.008916378021240234,['open fridge'],0.6558350554822682,0.0060725468100210015
48,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,48,5,0.245,12.123,0.015103816986083984,"['examine stove', 'examine knife', 'open kitchen cupboard', 'read cookbook', 'examine fridge', 'open fridge']",0.6792627804822681,0.006064846254305965
