,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.3, 'epsilon_step': 0.01}",,0,23,-0.21000000000000013,-0.21000000000000013,0.10522961616516113,"['look around', 'take knife', 'examine trash can', 'read cookbook', 'examine knife', 'examine knife', 'look around', 'examine cutlery drawer', 'examine knife', 'open kitchen cupboard', 'examine fridge', 'examine kitchen cupboard', 'examine counter', 'open trash can', 'examine knife', 'examine counter', 'examine dishwasher', 'close kitchen cupboard', 'examine dining chair', 'put knife in dining chair', 'examine stove', 'open kitchen cupboard', 'examine fridge', 'open fridge']",-0.021700000000000025,-0.0009434782608695663
1,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.3, 'epsilon_step': 0.01}",,1,3,0.19,-0.02000000000000013,0.023934602737426758,"['take knife', 'open dishwasher', 'examine fridge', 'open fridge']",-0.0031300000000000286,-0.00012038461538461648
2,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.3, 'epsilon_step': 0.01}",,2,8,0.09,0.06999999999999987,0.039893150329589844,"['examine knife', 'open cutlery drawer', 'take knife', 'examine trash can', 'close cutlery drawer', 'examine dishwasher', 'read cookbook', 'examine fridge', 'open fridge']",0.004694999999999975,0.00014227272727272653
3,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.3, 'epsilon_step': 0.01}",,3,11,0.030000000000000027,0.0999999999999999,0.05186295509338379,"['examine trash can', 'examine cookbook', 'read cookbook', 'examine fridge', 'open kitchen cupboard', 'examine kitchen cupboard', 'examine kitchen cupboard', 'examine counter', 'look around', 'open dishwasher', 'examine fridge', 'open fridge']",0.012571549999999982,0.0003066231707317069
4,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.3, 'epsilon_step': 0.01}",,4,9,0.07,0.1699999999999999,0.06482601165771484,"['examine dishwasher', 'examine cookbook', 'look around', 'examine toaster', 'examine counter', 'examine kitchen cupboard', 'examine kitchen cupboard', 'open dishwasher', 'examine fridge', 'open fridge']",0.01796700249999998,0.0003666735204081629
5,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.3, 'epsilon_step': 0.01}",,5,8,0.09,0.2599999999999999,0.04787135124206543,"['examine cookbook', 'examine counter', 'examine knife', 'examine oven', 'open kitchen cupboard', 'examine trash can', 'read cookbook', 'examine fridge', 'open fridge']",0.025184004999999985,0.0004578909999999997
6,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.3, 'epsilon_step': 0.01}",,6,17,-0.09000000000000002,0.16999999999999987,0.1311652660369873,"['examine stove', 'examine dining chair', 'examine trash can', 'open kitchen cupboard', 'examine cutlery drawer', 'open cutlery drawer', 'look around', 'look around', 'take knife', 'put knife in kitchen cupboard', 'close cutlery drawer', 'examine cutlery drawer', 'examine cookbook', 'look around', 'take cookbook', 'examine dining chair', 'examine fridge', 'open fridge']",0.013171834999999991,0.00018551880281690128
7,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.3, 'epsilon_step': 0.01}",,7,5,0.15,0.31999999999999984,0.036900997161865234,"['examine counter', 'examine cookbook', 'open kitchen cupboard', 'open dishwasher', 'examine fridge', 'open fridge']",0.026233524750000004,0.00034978033000000004
8,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.3, 'epsilon_step': 0.01}",,8,11,0.030000000000000027,0.34999999999999987,0.05636024475097656,"['examine dining chair', 'examine counter', 'examine dishwasher', 'examine counter', 'examine toaster', 'examine counter', 'inventory', 'examine counter', 'examine cutlery drawer', 'read cookbook', 'examine fridge', 'open fridge']",0.027378338474999993,0.00032593260089285703
9,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.3, 'epsilon_step': 0.01}",,9,2,0.21,0.5599999999999998,0.02293872833251953,"['examine oven', 'examine fridge', 'open fridge']",0.04664923169749999,0.0005424329267151161
